"url","price","course_by","title","skills","ratings","reviews","level, type and duration"
"https://www.coursera.org/learn/the-science-of-well-being","Free","Yale University","The Science of Well-Being","Personal Development, Business Psychology, Entrepreneurship, Leadership and Management, Professional Development, Adaptability, Resilience, Planning","4.9","(35.5k reviews)","Mixed · Course · 1-3 Months"
"https://www.coursera.org/learn/indigenous-canada","Free","University of Alberta","Indigenous Canada","Leadership and Management, Business Psychology, Culture, Communication, Entrepreneurship, Marketing, Algorithms, Creativity, Finance, Research and Design, Storytelling, Theoretical Computer Science","4.8","(20.8k reviews)","Mixed · Course · 1-3 Months"
"https://www.coursera.org/learn/financial-markets-global","Free","Yale University","Financial Markets","Finance, Banking, Investment Management, Risk Management, Securities Trading, Financial Management, Regulations and Compliance, Securities Sales, Underwriting, Business Psychology, Behavioral Economics, Accounting, Adaptability, Budget Management, Innovation, Media Strategy & Planning, Resilience, Taxes, Business Analysis, Business Process Management, Corporate Accouting, Data Analysis, Entrepreneurship, Financial Analysis, Generally Accepted Accounting Principles (GAAP), Probability & Statistics, Statistical Tests, Strategy and Operations","4.8","(24.4k reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/the-science-of-well-being-for-teens","Free","Yale University","The Science of Well-Being for Teens","","4.8","(29 reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/introduction-psychology","Free","Yale University","Introduction to Psychology","Business Psychology, Emotional Intelligence, Writing","4.9","(25.5k reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/sciwrite","Free","Stanford University","Writing in the Sciences","Communication, Writing, Social Media","4.9","(7.5k reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/stanford-statistics","Free","Stanford University","Introduction to Statistics","Data Science, General Statistics, Probability & Statistics, Statistical Tests, Estimation, Basic Descriptive Statistics, Correlation And Dependence, Probability Distribution, Regression, Bayesian Statistics, Data Analysis, Data Visualization, Econometrics, Experiment, Machine Learning, Markov Model, Plot (Graphics), Statistical Analysis, Statistical Visualization","4.6","(2k reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/food-and-health","Free","Stanford University","Stanford Introduction to Food and Health","","4.7","(28.4k reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/dyslexia","Free","Yale University","Overcoming Dyslexia","Web Design, Web Development, Algebra, Mathematics","4.7","(104 reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/private-equity","Free","Università Bocconi","Private Equity and Venture Capital","Banking, Finance, Mergers & Acquisitions, Financial Management, Financial Analysis, Investment Management, Regulations and Compliance, Accounting, Decision Making, Entrepreneurship, Leadership and Management","4.8","(7.4k reviews)","Mixed · Course · 1-3 Months"
"https://www.coursera.org/learn/remote-team-management","Free","GitLab","How to Manage a Remote Team","Business Psychology, Entrepreneurship, Leadership and Management, Human Resources, People Development, Collaboration, Communication, Culture, Adaptability, Organizational Development, Performance Management, Project Management, Strategy and Operations, Business Analysis, Business Transformation, Marketing, People Management, Recruitment, Sales, Strategy","4.8","(810 reviews)","Intermediate · Course · 1-3 Months"
"https://www.coursera.org/learn/negotiation-skills","Free","University of Michigan","Successful Negotiation: Essential Strategies and Skills","Communication, Marketing, Negotiation, Sales","4.8","(17.9k reviews)","Mixed · Course · 1-3 Months"
"https://www.coursera.org/learn/connected-leadership","Free","Yale University","Connected Leadership","Entrepreneurship, Strategy and Operations, Leadership and Management, Marketing, Sales, Strategy, Change Management, Human Resources, Leadership Development, Business Analysis, Critical Thinking, Project Management, Research and Design, Accounting, Audit, Business Process Management, Computer Programming, Computer Programming Tools, FinTech, Finance, Operating Systems, Operations Management, People Management, Systems Design, Theoretical Computer Science, Emotional Intelligence","4.6","(24 reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/agile-atlassian-jira","Free","Atlassian","Agile with Atlassian Jira","Project Management, Strategy and Operations, Jira (Software), Scrum (Software Development), Agile Software Development, Leadership and Management, Operations Management, Software Engineering, Supply Chain and Logistics","4.7","(7.7k reviews)","Beginner · Course · 1-4 Weeks"
"https://www.coursera.org/learn/organizational-analysis","Free","Stanford University","Organizational Analysis","Business Psychology, Entrepreneurship, Organizational Development, Leadership and Management, Culture, Business Analysis, Business Communication, Business Transformation, Communication, Business Process Management, Decision Making, General Statistics, Human Resources, Marketing, Mathematics, Network Analysis, Probability & Statistics, Sales, Social Media, Strategy, Strategy and Operations","4.6","(1.3k reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/content-marketing","Free","University of California, Davis","The Strategy of Content Marketing","Communication, Marketing, Media Strategy & Planning, Business Psychology, Marketing Design, Marketing Management, Marketing Psychology, Media Production, Research and Design, Digital Marketing, Influencing, Writing, Advertising, Advertising Sales, MarTech, Storytelling, Brand Management, Entrepreneurship, Leadership and Management, Sales, Strategy, Strategy and Operations","4.5","(3.9k reviews)","Intermediate · Course · 1-3 Months"
"https://www.coursera.org/learn/negotiation","Free","Yale University","Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator","Communication, Marketing, Negotiation, Sales, Business Analysis, Critical Thinking, Entrepreneurship, Game Theory, Leadership and Management, Mathematics, Problem Solving, Research and Design, Strategy, Strategy and Operations","4.9","(4.5k reviews)","Mixed · Course · 1-3 Months"
"https://www.coursera.org/learn/pap","Free","Universitat Autònoma de Barcelona","Primeros Auxilios Psicológicos (PAP)","Entrepreneurship, Business Psychology, Resilience, Communication","4.8","(9.5k reviews)","Mixed · Course · 1-3 Months"
"https://www.coursera.org/learn/electricity","Free","Duke University","Electric Industry Operations and Markets","Finance, Regulations and Compliance","4.8","(1.1k reviews)","Beginner · Course · 1-4 Weeks"
"https://www.coursera.org/learn/game-theory-1","Free","Stanford University","Game Theory","Game Theory, Mathematics, Research and Design, Entrepreneurship, Leadership and Management, Marketing, Sales, Strategy, Strategy and Operations, Probability & Statistics","4.6","(4.3k reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/brand","Free","University of London","Brand Management: Aligning Business, Brand and Behaviour","Brand Management, Marketing, Communication, Marketing Management, Marketing Design, Research and Design, Business Analysis, Business Psychology, Business Transformation, Finance, Financial Management, Human Resources, Organizational Development, Persona Research, Talent Management, Corporate Accouting, Customer Relationship Management, Customer Success, Leadership and Management, Sales, Strategy and Operations","4.9","(6.5k reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/mafash","Free","Università Bocconi","Management of Fashion and Luxury Companies","Brand Management, Marketing, Business Design, Business Research, Communication, Market Analysis, Marketing Management, Research and Design, Retail Sales, Sales, Advertising, Advertising Sales, Digital Marketing, Influencing, Leadership and Management, Market Research, Merchandising, Strategy, Strategy and Operations, Business Communication, Design and Product, E-Commerce, Entrepreneurship, Retail Store Operations, Supply Chain and Logistics","4.7","(5.4k reviews)","Mixed · Course · 1-3 Months"
"https://www.coursera.org/learn/womens-health-human-rights","Free","Stanford University","International Women's Health and Human Rights","Epidemiology, Entrepreneurship, Leadership and Management, Planning, Supply Chain and Logistics","4.9","(1.4k reviews)","Beginner · Course · 3-6 Months"
"https://www.coursera.org/learn/careerdevelopment","Free","University of Pennsylvania","English for Career Development","Communication, Entrepreneurship, Writing, Human Learning","4.8","(13.8k reviews)","Mixed · Course · 1-3 Months"
"https://www.coursera.org/learn/childnutrition","Free","Stanford University","Child Nutrition and Cooking","Culture, Leadership and Management","4.8","(9.6k reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/neurobiology","Free","The University of Chicago","Understanding the Brain: The Neurobiology of Everyday Life","Communication, Epidemiology","4.9","(2.6k reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/people-management","Free","University of London","The Manager's Toolkit: A Practical Guide to Managing People at Work","Human Resources, Leadership and Management, People Management, Compensation, Conflict Management, Decision Making, Human Resources Operations, Leadership Development, People Analysis, Performance Management, Recruitment, Strategy and Operations, Business Analysis, Employee Relations, Organizational Development, People Development","4.7","(3.3k reviews)","Mixed · Course · 1-3 Months"
"https://www.coursera.org/learn/macroeconomics-for-business-management","Free","Fundação Instituto de Administração","Macroeconomics for Business Management","Accounting, General Accounting","4.8","(248 reviews)","Beginner · Course · 1-4 Weeks"
"https://www.coursera.org/learn/learn-korean","Free","Yonsei University","First Step Korean","","4.9","(46.4k reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/learning-how-to-learn","Free","Deep Teaching Solutions","Learning How to Learn: Powerful mental tools to help you master tough subjects","Personal Development, Business Psychology, Human Learning, Entrepreneurship, Collaboration, Decision Making, Problem Solving","4.8","(85.9k reviews)","Beginner · Course · 1-4 Weeks"
"https://www.coursera.org/learn/user-experience-design","Free","Georgia Institute of Technology","Introduction to User Experience Design","Design and Product, Human Computer Interaction, Product Design, User Experience, Application Development, Business Psychology, Change Management, Entrepreneurship, Leadership and Management, Market Research, Research and Design, Software Engineering, Strategy and Operations, User Experience Design, User Research","4.5","(7.5k reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/contabilidad","Free","Universidad Nacional Autónoma de México","Contabilidad para no contadores","Accounting, Finance","4.8","(8.1k reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/medical-neuroscience","Free","Duke University","Medical Neuroscience","","4.9","(2.6k reviews)","Advanced · Course · 3-6 Months"
"https://www.coursera.org/learn/forensic-accounting","Free","West Virginia University","Forensic Accounting and Fraud Examination","Business Research, Finance, Financial Management, Regulations and Compliance, Research and Design, Accounting, Audit, Financial Accounting, Data Analysis, Data Analysis Software, Big Data, Business Analysis, Critical Thinking, Data Management, Financial Analysis, General Accounting, Strategy and Operations","4.7","(5k reviews)","Mixed · Course · 1-3 Months"
"https://www.coursera.org/learn/cybersecurity-for-everyone","Free","University of Maryland, College Park","Cybersecurity for Everyone","Cyberattacks, Security Engineering, Computer Networking, Computer Architecture, Network Architecture","4.7","(624 reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/crypto","Free","Stanford University","Cryptography I","Cryptography, Theoretical Computer Science, Security Engineering, Algebra, Mathematical Theory & Analysis, Mathematics","4.8","(4.1k reviews)","Mixed · Course · 1-3 Months"
"https://www.coursera.org/learn/physiology","Free","Duke University","Introductory Human Physiology","","4.8","(4.6k reviews)","Mixed · Course · 1-3 Months"
"https://www.coursera.org/learn/managing-emotions-uncertainty-stress","Free","Yale University","Managing Emotions in Times of Uncertainty & Stress","Strategy and Operations, Communication, Decision Making, Emotional Intelligence, Entrepreneurship, Leadership and Management","4.8","(2.4k reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/clinical-data-management","Free","Vanderbilt University","Data Management for Clinical Research","Data Management, Leadership and Management, Clinical Data Management, Research and Design, Data Analysis, Database Application, Databases, Extract, Transform, Load, Statistical Analysis, Survey Creation, Database Design","4.7","(1.4k reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/global-diplomacy","Free","University of London","Global Diplomacy – Diplomacy in the Modern World","Communication, Marketing, Negotiation, Sales","4.7","(4.3k reviews)","Mixed · Course · 1-3 Months"
"https://www.coursera.org/learn/international-humanitarian-law","Free","Universiteit Leiden","International Humanitarian Law in Theory and Practice","","4.8","(1.5k reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/antibiotic-stewardship","Free","Stanford University","Antibiotic Stewardship","General Statistics, Leadership and Management, Probability & Statistics","4.5","(338 reviews)","Advanced · Course · 1-3 Months"
"https://www.coursera.org/learn/clinical-research","Free","University of Cape Town","Understanding Clinical Research: Behind the Statistics","Business Analysis, Data Analysis, General Statistics, Probability & Statistics, Statistical Analysis, Basic Descriptive Statistics, Experiment, Research and Design, Statistical Tests, Probability Distribution","4.8","(3.1k reviews)","Mixed · Course · 1-3 Months"
"https://www.coursera.org/learn/social-psychology","Free","Wesleyan University","Social Psychology","Communication, General Statistics","4.7","(4.5k reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/positive-psychiatry","Free","The University of Sydney","Positive Psychiatry and Mental Health","Business Psychology, Entrepreneurship, Resilience","4.8","(3.2k reviews)","Mixed · Course · 1-3 Months"
"https://www.coursera.org/learn/animal-welfare","Free","The University of Edinburgh","Animal Behaviour and Welfare","","4.8","(4.7k reviews)","Mixed · Course · 1-3 Months"
"https://www.coursera.org/learn/terrorism","Free","Universiteit Leiden","Terrorism and Counterterrorism: Comparing Theory and Practice","Entrepreneurship, Business Psychology, Communication, Leadership and Management, Marketing, Resilience, Sales, Strategy, Strategy and Operations","4.8","(3k reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/what-is-the-metaverse","Free","Meta","What is the Metaverse?","Computer Graphics, Human Computer Interaction, Virtual Reality, Finance, Interactive Design, BlockChain, Marketing, Accounting, Advertising, Big Data, Business Analysis, Business Psychology, Cloud Computing, Communication, Computer Architecture, Computer Vision, Culture, Data Analysis, Data Management, Decision Making, Digital Marketing, Entrepreneurship, FinTech, Financial Analysis, Hardware Design, Human Resources, Leadership and Management, Machine Learning, Operating Systems, Organizational Development, Regulations and Compliance, Security Engineering, Software Engineering, Software Engineering Tools, Software Security, System Security, User Experience, Benefits, E-Commerce, General Accounting, Sales","4.6","(495 reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/etudier-en-france","Free","École Polytechnique","Étudier en France: French Intermediate course B1-B2","Communication, Writing","4.8","(4.4k reviews)","Intermediate · Course · 1-3 Months"
"https://www.coursera.org/learn/introduction-to-cybersecurity-foundations","Free","Infosec","Introduction to Cybersecurity Foundations","Cloud Computing, Computer Networking, Network Security, Operating Systems, Security Engineering, System Security, Cloud Platforms, Programming Principles, Systems Design, Theoretical Computer Science","4.6","(105 reviews)","Beginner · Course · 1-4 Weeks"
"https://www.coursera.org/learn/advanced-valuation-and-strategy","Free","Erasmus University Rotterdam","Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital","Finance, Mergers & Acquisitions, Business Analysis, Data Analysis, Financial Analysis, Investment Management, Accounting, Entrepreneurship, Leadership and Management, Marketing, Sales, Strategy, Strategy and Operations, Financial Accounting, Financial Management, Game Theory, Mathematics, Risk Management, Decision Making","4.6","(1.1k reviews)","Advanced · Course · 1-3 Months"
"https://www.coursera.org/learn/corporatestrategy","Free","University of London","Corporate Strategy","Entrepreneurship, Leadership and Management, Marketing, Sales, Strategy, Strategy and Operations, Finance, Mergers & Acquisitions, Business Development, Accounting, Business Analysis, Business Psychology, Data Analysis, Decision Making, Financial Analysis, Investment Management, Organizational Development","4.8","(1.5k reviews)","Beginner · Course · 1-4 Weeks"
"https://www.coursera.org/learn/mathematical-thinking","Free","Stanford University","Introduction to Mathematical Thinking","Mathematical Theory & Analysis, Mathematics, Business Analysis, Critical Thinking, Research and Design, Strategy and Operations","4.8","(2.5k reviews)","Intermediate · Course · 1-3 Months"
"https://www.coursera.org/learn/clinical-terminology","Free","University of Pittsburgh","Clinical Terminology for International and U.S. Students","","4.8","(2.9k reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/duke-behavioral-finance","Free","Duke University","Behavioral Finance","Behavioral Economics, Business Psychology, Communication, Decision Making, Emotional Intelligence, Entrepreneurship, Finance, Leadership and Management, Risk Management","4.4","(3.6k reviews)","Mixed · Course · 1-4 Weeks"
"https://www.coursera.org/learn/introduction-psych","Free","University of Toronto","Introduction to Psychology","Business Psychology, Communication, Emotional Intelligence, Entrepreneurship, Human Resources, Leadership Development, Leadership and Management, People Development, Human Learning","4.9","(4.8k reviews)","Mixed · Course · 1-3 Months"
"https://www.coursera.org/learn/learn-to-program","Free","University of Toronto","Learn to Program: The Fundamentals","Computer Programming, Python Programming, Computational Thinking, Computational Logic, Business Analysis, Critical Thinking, Entrepreneurship, Leadership and Management, Problem Solving, Programming Principles, Research and Design, Statistical Programming, Strategy and Operations, Theoretical Computer Science","4.7","(6k reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/sustainable-finance","Free","Erasmus University Rotterdam","Principles of Sustainable Finance","Business Analysis, Business Transformation, Entrepreneurship, Finance, Financial Management, Innovation, Leadership and Management, Problem Solving, Research and Design, Marketing, Sales, Strategy, Strategy and Operations, Banking, Risk Management","4.7","(1.3k reviews)","Intermediate · Course · 1-3 Months"
"https://www.coursera.org/learn/introduction-to-calculus","Free","The University of Sydney","Introduction to Calculus","Mathematics, Calculus, Algebra, Differential Equations, Mathematical Theory & Analysis, Applied Mathematics","4.8","(3.2k reviews)","Intermediate · Course · 1-3 Months"
"https://www.coursera.org/learn/food-beverage-management","Free","Università Bocconi","Food & Beverage Management","Design and Product, Marketing, Business Analysis, Customer Analysis, Product Marketing, Product Strategy, Brand Management, Communication, Entrepreneurship, Leadership and Management, Market Analysis, Marketing Management, Sales, Strategy, Strategy and Operations, Innovation, Product Lifecycle, Product Management, Research and Design, Supply Chain Systems, Supply Chain and Logistics","4.8","(4.1k reviews)","Mixed · Course · 1-3 Months"
"https://www.coursera.org/learn/american-law","Free","University of Pennsylvania","An Introduction to American Law","","4.8","(4.5k reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/sdgbusiness","Free","Erasmus University Rotterdam","Driving business towards the Sustainable Development Goals","Business Research, Leadership and Management, Research and Design, Business Analysis, Business Transformation, Entrepreneurship, Innovation, Problem Solving, Business Design, Market Research, Collaboration, Communication, Professional Development, Business Psychology, Entrepreneurial Finance, Finance, Human Resources, Leadership Development, Organizational Development, Planning, Risk Management, Adaptability, Culture, Strategy","4.8","(1.1k reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/everyday-parenting","Free","Yale University","Everyday Parenting: The ABCs of Child Rearing","Communication, Research and Design, Operations Research, Strategy and Operations","4.9","(2.6k reviews)","Beginner · Course · 1-4 Weeks"
"https://www.coursera.org/learn/international-organizations-management","Free","University of Geneva","International Organizations Management","Entrepreneurship, Leadership and Management, Business Psychology, Organizational Development, Collaboration, Communication, Marketing, Sales, Strategy, Strategy and Operations, Brand Management, Market Analysis, Computer Networking, Human Resources, Leadership Development, Marketing Management, Media Strategy & Planning, Network Model","4.8","(1.6k reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/reussir-le-changement","Free","ESSEC Business School","Réussir le Changement","Change Management, Leadership and Management, Strategy and Operations, Entrepreneurship, Human Resources, Business Psychology, Communication, Project Management, Training","4.5","(1.8k reviews)","Mixed · Course · 1-3 Months"
"https://www.coursera.org/learn/research-methods","Free","University of London","Understanding Research Methods","Leadership and Management","4.6","(6.6k reviews)","Mixed · Course · 1-4 Weeks"
"https://www.coursera.org/learn/write-your-first-novel","Free","Michigan State University","Write Your First Novel","Business Psychology, Communication, Creativity, Entrepreneurship, Leadership and Management, Organizational Development, Research and Design, Storytelling, Writing","4.2","(248 reviews)","Beginner · Course · 3-6 Months"
"https://www.coursera.org/learn/aprendiendo-programar-python","Free","Pontificia Universidad Católica de Chile","Introducción a la programación en Python I: Aprendiendo a programar con Python","Computer Programming, Python Programming, Statistical Programming, Programming Principles","4.4","(3.9k reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/moral-politics","Free","Yale University","Moral Foundations of Politics","","4.9","(5.3k reviews)","Mixed · Course · 1-3 Months"
"https://www.coursera.org/learn/addiction-treatment","Free","Yale University","Addiction Treatment: Clinical Skills for Healthcare Providers","Communication, Leadership and Management","4.8","(1.5k reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/arbitration-international-disputes","Free","Universiteit Leiden","International Law in Action: the Arbitration of International Disputes","","4.8","(1k reviews)","Mixed · Course · 1-3 Months"
"https://www.coursera.org/learn/clinicalsimulations","Free","The George Washington University","Essentials in Clinical Simulations Across the Health Professions","Leadership and Management, Strategy and Operations, Entrepreneurship, Marketing, Planning, Sales, Strategy, Supply Chain and Logistics, Business Psychology, Human Resources, Professional Development, Training, Communication, Budget Management, Change Management, Finance, Operations Management, Operations Research","4.8","(907 reviews)","Intermediate · Course · 1-3 Months"
"https://www.coursera.org/learn/whatsapp-business-platform-for-developers","Free","Meta","WhatsApp Business Platform for Developers","Cloud API, Cloud Computing, Cloud Applications, Cloud Platforms, Cloud-Based Integration, Software Architecture, Software Engineering, Theoretical Computer Science, Communication, Computer Programming, Computer Programming Tools","4.3","(12 reviews)","Intermediate · Course · 1-4 Weeks"
"https://www.coursera.org/learn/vital-signs","Free","University of Pennsylvania","Vital Signs: Understanding What the Body Is Telling Us","","4.8","(5.8k reviews)","Mixed · Course · 1-3 Months"
"https://www.coursera.org/learn/astro","Free","University of Arizona","Astronomy: Exploring Time and Space","","4.8","(3.4k reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/industrial-biotech","Free","University of Manchester","Industrial Biotechnology","","4.7","(2.9k reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/intro-common-law","Free","University of London","Introduction to English Common Law","","4.8","(1.6k reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/neuromarketing","Free","Copenhagen Business School","An Introduction to Consumer Neuroscience & Neuromarketing","Marketing, Business Psychology, Marketing Psychology, MarTech, Emotional Intelligence, Human Learning, Leadership and Management, Entrepreneurship, Market Research, Research and Design","4.7","(2.9k reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/sports-marketing","Free","Northwestern University","Sports Marketing","Communication, Entrepreneurship, Market Analysis, Marketing, Sales, Strategy, Strategy and Operations","4.7","(1.1k reviews)","Intermediate · Course · 1-3 Months"
"https://www.coursera.org/learn/organizational-behavior","Free","Università Bocconi","International Leadership and Organizational Behavior","Leadership and Management, Business Psychology, Culture, Human Resources, Communication, Entrepreneurship, Leadership Development, Organizational Development, Business Communication, Collaboration, Conflict Management, Emotional Intelligence, People Development, Adaptability, Marketing, Mathematics, Network Analysis, Social Media","4.8","(2.9k reviews)","Mixed · Course · 1-3 Months"
"https://www.coursera.org/learn/dog-emotion-and-cognition","Free","Duke University","Dog Emotion and Cognition","Experiment, Probability & Statistics, Communication, Entrepreneurship, Leadership and Management, Problem Solving, Research and Design","4.7","(4.4k reviews)","Mixed · Course · 1-3 Months"
"https://www.coursera.org/learn/creative-thinking-techniques-and-tools-for-success","Free","Imperial College London","Creative Thinking: Techniques and Tools for Success","Research and Design, Entrepreneurship, Creativity, Leadership and Management, Business Psychology, Human Learning, Problem Solving, Business Analysis, Collaboration, Communication, Critical Thinking, Innovation, Strategy and Operations, Design and Product, Product Development","4.7","(3.8k reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/circular-economy","Free","Lund University","Circular Economy - Sustainable Materials Management","Leadership and Management, Design and Product, Product Lifecycle, Material Handling, Planning, Supply Chain Systems, Supply Chain and Logistics, Business Analysis, Operational Analysis","4.8","(1.6k reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/intro-programming","Free","The University of Edinburgh","Code Yourself! An Introduction to Programming","Computational Thinking, Computer Programming, Algorithms, Design and Product, Human Computer Interaction, Product Design, Theoretical Computer Science, User Experience, Entrepreneurship, Journalism, Leadership and Management, Other Programming Languages, Problem Solving, Programming Principles, Research and Design, Software Engineering","4.7","(3.1k reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/dino101","Free","University of Alberta","Dino 101: Dinosaur Paleobiology","","4.9","(3.2k reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/edinburgh-music-theory","Free","The University of Edinburgh","Fundamentals of Music Theory","","4.5","(1.6k reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/oilandgas","Free","Duke University","Oil & Gas Industry Operations and Markets","Market Research, Strategy and Operations, Design and Product, Marketing, Operations Management, Product Marketing, Sales, Supply Chain and Logistics, Transportation Operations Management","4.8","(5.4k reviews)","Mixed · Course · 1-4 Weeks"
"https://www.coursera.org/learn/engineering-mechanics-statics","Free","Georgia Institute of Technology","Introduction to Engineering Mechanics","Entrepreneurship, Leadership and Management, Mathematics, Problem Solving, Research and Design","4.8","(4.6k reviews)","Mixed · Course · 1-3 Months"
"https://www.coursera.org/learn/journalism","Free","University of Pennsylvania","English for Journalism","Communication, Journalism, Marketing, Social Media, Writing, Business Psychology, Culture, Data Visualization, Digital Marketing, General Statistics, Leadership and Management, Probability & Statistics","4.8","(2.5k reviews)","Mixed · Course · 1-3 Months"
"https://www.coursera.org/learn/teach-online","Free","UNSW Sydney (The University of New South Wales)","Learning to Teach Online","Business Psychology, Change Management, Entrepreneurship, Human Learning, Human Resources, Leadership and Management, People Development, Strategy and Operations, Supply Chain and Logistics","4.7","(2.9k reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/health-behavior-change","Free","Yale University","Health Behavior Change: From Evidence to Action","","4.8","(278 reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/computational-neuroscience","Free","University of Washington","Computational Neuroscience","Data Science, Machine Learning, Artificial Neural Networks, Python Programming, Statistical Programming, Matlab, Reinforcement Learning, Business Psychology, Communication, Computer Networking, Computer Programming, Data Analysis, Data Analysis Software, Deep Learning, Entrepreneurship, General Statistics, Linear Algebra, Machine Learning Algorithms, Mathematics, Network Model, Probability & Statistics, Probability Distribution","4.6","(1k reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/microeconomics","Free","University of Illinois at Urbana-Champaign","Microeconomics Principles","Entrepreneurship, Market Research, Research and Design, Accounting, General Accounting, Critical Thinking","4.8","(2.7k reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/einstein-relativity","Free","Stanford University","Understanding Einstein: The Special Theory of Relativity","Leadership and Management, Problem Solving, Mathematics, Algebra","4.9","(2.9k reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/global-energy","Free","Sciences Po","Politics and Economics of International Energy","Finance, Regulations and Compliance","4.7","(1.7k reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/schizophrenia","Free","Wesleyan University","Schizophrenia","","4.8","(1.9k reviews)","Intermediate · Course · 1-3 Months"
"https://www.coursera.org/learn/innovation-through-design","Free","The University of Sydney","Innovation Through Design: Think, Make, Break, Repeat","Critical Thinking, Design and Product, Entrepreneurship, Innovation, Leadership and Management, Problem Solving, Product Design, Product Management, Research and Design, Strategy and Operations, Technical Product Management, Business Analysis, Persona Research, Human Computer Interaction, User Experience","4.8","(1.5k reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/nutrition-pregnancy","Free","Ludwig-Maximilians-Universität München (LMU)","Nutrition and Lifestyle in Pregnancy","","4.8","(2.8k reviews)","Intermediate · Course · 1-4 Weeks"
"https://www.coursera.org/learn/corp-sustainability","Free","Università Bocconi","Corporate Sustainability. Understanding and Seizing the Strategic Opportunity","Adaptability, Business Analysis, Business Psychology, Business Transformation, Entrepreneurship, Leadership and Management, Organizational Development, Customer Analysis, Marketing, Sales, Strategy, Strategy and Operations","4.6","(703 reviews)","Mixed · Course · 1-3 Months"
"https://www.coursera.org/learn/conflict-transformation","Free","Emory University","Conflict Transformation","Communication","4.8","(377 reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/quality-healthcare","Free","The George Washington University","Leading Healthcare Quality and Safety","Leadership and Management, Strategy and Operations, Entrepreneurship, Problem Solving, Research and Design, Finance, Marketing, Risk Management, Sales, Strategy","4.7","(1.1k reviews)","Beginner · Course · 1-3 Months"
"https://www.coursera.org/learn/mental-health","Free","University of Toronto","The Social Context of Mental Health and Illness","","4.7","(481 reviews)","Mixed · Course · 1-3 Months"
"https://www.coursera.org/learn/dental-medicine-penn","Free","University of Pennsylvania","Introduction to Dental Medicine","Epidemiology, Probability & Statistics","4.8","(1.3k reviews)","Beginner · Course · 1-3 Months"
